Parameter,CAN_ID,UDS Request Payload,Vehicle Model,Source
soc,607,03 22 DD BC 00 00 00 00,MiniCooperSE,https://github.com/iternio/ev-obd-pids/blob/main/renault/zoe.json
voltage,607,03 22 DD 68 00 00 00 00,MiniCooperSE,https://github.com/iternio/ev-obd-pids/blob/main/renault/zoe.json
current,607,03 22 DD 69 00 00 00 00,MiniCooperSE,https://github.com/iternio/ev-obd-pids/blob/main/renault/zoe.json
soh,607,03 22 63 35 00 00 00 00,MiniCooperSE,https://github.com/iternio/ev-obd-pids/blob/main/renault/zoe.json
batt_temp,607,03 22 DD C0 00 00 00 00,MiniCooperSE,https://github.com/iternio/ev-obd-pids/blob/main/renault/zoe.json
