Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
0_Niro_Cumulative Energy Discharged,CED,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Drive Motor Speed 1, EV-RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_RPM HSG?,HSG RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Inverter Capacitor Voltage,BMS Capacitor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Isolation Resistance,Surge Resistor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Maximum Cell Voltage,Max Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Maximum Cell Voltage No.,Max Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Maximum Deterioration,Max Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Maximum Deterioration Cell No.,Max Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Minimum Cell Voltage,Min Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
