Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
1_Niro_Cell Voltage 69,Cell 69,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 70,Cell 70,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 71,Cell 71,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 72,Cell 72,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 73,Cell 73,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 74,Cell 74,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 75,Cell 75,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 76,Cell 76,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 77,Cell 77,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 78,Cell 78,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 79,Cell 79,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 80,Cell 80,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 81,Cell 81,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 82,Cell 82,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 83,Cell 83,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 84,Cell 84,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 85,Cell 85,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 86,Cell 86,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 87,Cell 87,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 88,Cell 88,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 89,Cell 89,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 90,Cell 90,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 91,Cell 91,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 92,Cell 92,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 93,Cell 93,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 94,Cell 94,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 95,Cell 95,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 96,Cell 96,7E4,0x2104,03 22 21 04 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
