Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
000_Battery Inlet Temperature,Batt InletT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Max Temperature,Batt MaxT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Min Temperature,Batt MinT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 1 Temperature,Batt Temp1,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 2 Temperature,Batt Temp2,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 3 Temperature,Batt Temp3,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 4 Temperature,Batt Temp4,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 5 Temperature,Batt Temp5,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 6 Temperature,Batt Temp6,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 7 Temperature,Batt Temp7,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Module 8 Temperature,Batt Temp8,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Power,Energy Draw,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_BMS Ignition,BMS Ignit.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_BMS Main Relay,BMS Relay,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Cumulative Charge Current,CCC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Cumulative Discharge Current,CDC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Cumulative Energy Charged,CEC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Cumulative Energy Discharged,CED,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Drive Motor Speed 1,Motor RPM 1,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Drive Motor Speed 2,Motor RPM 2,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_HV_Charging,Charging,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Inverter Capacitor Voltage,BMS Capacitor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Isolation Resistance,Surge Resistor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Maximum Cell Voltage,Max Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Maximum Cell Voltage No.,Max Cell V No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Maximum Deterioration,Max Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Maximum Deterioration Cell No.,Max Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Minimum Cell Voltage,Min Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Minimum Cell Voltage No.,Min Cell V No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Minimum Deterioration,Min Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Minimum Deterioration Cell No.,Min Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Normal Charge Port,J1772 Plug,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Operating Seconds,OpSecs,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Operating Time,OpTime,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Rapid Charge Port,Chademo Plug,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_State of Charge BMS,SOC BMS,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_State of Charge Display,SOC Display,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
