Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle,source
000_Niro_Cumulative Discharge Current,CDC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Cumulative Energy Charged,CEC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Cumulative Energy Discharged,CED,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Drive Motor Speed 1, EV-RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_RPM Unknown,Unknown RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Inverter Capacitor Voltage,BMS Capacitor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Isolation Resistance,Surge Resistor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Maximum Cell Voltage,Max Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Maximum Cell Voltage No.,Max Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Maximum Deterioration,Max Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Maximum Deterioration Cell No.,Max Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Minimum Cell Voltage,Min Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Minimum Cell Voltage No.,Min Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Minimum Deterioration,Min Det,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Minimum Deterioration Cell No.,Min Det Cell No.,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_Operating Time,OpTime,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
000_Niro_State of Charge BMS,SOC BMS,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_HEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20HEV'}
